Site,Date and Time,Temperature,Relative Humidity,PM2.5,TVOC,CO2,CO,Air Pressure,Ozone,PM1,PM4,PM10,Formaldehyde,Light,Sound,Virus Index,Mold Index
Main Lobby,13/01/26 08:28,23.7,50.4,6,126,504,87.4,1013.6,7,7,9,8,0,333,36,1,2
Main Lobby,13/01/26 08:29,23.5,49.2,8,117,516,91.7,1013.8,11,6,9,9,0,341,37,1,2
Main Lobby,13/01/26 08:30,24.0,50.7,7,110,477,91.4,1013.7,10,5,8,8,0,319,36,1,2
Main Lobby,13/01/26 08:31,23.6,49.2,6,121,459,89.1,1013.5,9,4,8,10,0,326,38,1,2
Main Lobby,13/01/26 08:32,23.6,48.5,6,122,501,94.5,1013.5,11,5,8,8,0,309,36,1,2
Main Lobby,13/01/26 08:33,23.8,49.7,5,111,452,91.2,1013.2,9,5,6,9,0,301,36,1,2
Main Lobby,13/01/26 08:34,23.5,49.5,7,107,483,93.3,1013.4,7,4,7,9,0,306,36,1,2
Main Lobby,13/01/26 08:35,23.9,51.3,5,96,441,86.3,1013.6,10,4,7,9,0,295,36,1,2
Main Lobby,13/01/26 08:36,23.8,51.4,5,94,444,91.8,1013.8,9,5,6,8,0,309,32,1,2
Main Lobby,13/01/26 08:37,23.7,48.9,7,115,441,89.3,1013.4,10,5,8,9,0,284,37,1,2
Main Lobby,13/01/26 08:38,23.7,49.8,6,119,430,93.1,1013.5,10,5,7,8,0,310,35,1,2
Main Lobby,13/01/26 08:39,23.4,49.9,6,100,410,93.5,1013.3,8,6,7,9,0,300,32,1,2
Main Lobby,13/01/26 08:40,23.3,50.7,6,110,442,91.5,1013.5,12,4,6,8,0,280,32,1,2
Main Lobby,13/01/26 08:41,23.5,50.7,6,107,412,87.5,1013.3,8,4,7,9,0,271,30,1,2
Open Office - Level 2,13/01/26 08:00,23.8,51.1,9,148,542,147.3,1013.1,18,8,12,16,0,302,45,2,2
Open Office - Level 2,13/01/26 08:01,23.5,52.1,9,161,564,146.8,1013.0,24,8,13,15,0,287,45,2,2
Open Office - Level 2,13/01/26 08:02,23.5,50.4,10,153,592,151.1,1013.5,19,8,12,15,0,322,48,2,2
Open Office - Level 2,13/01/26 08:03,23.7,51.7,10,157,567,151.6,1013.1,19,7,11,15,0,316,44,2,2
Open Office - Level 2,13/01/26 08:04,23.7,50.9,9,182,609,151.3,1013.4,24,8,12,15,0,333,48,2,2
Open Office - Level 2,13/01/26 08:05,23.5,51.7,9,165,577,151.9,1013.4,24,8,12,15,0,303,47,2,2
Open Office - Level 2,13/01/26 08:06,23.4,52.4,10,175,635,155.0,1013.4,20,7,14,16,0,331,49,2,2
Open Office - Level 2,13/01/26 08:07,23.8,51.0,8,171,606,151.7,1013.5,20,8,13,17,0,343,48,2,2
Open Office - Level 2,13/01/26 08:08,23.6,52.4,10,178,653,151.6,1013.3,20,7,13,17,0,339,51,2,2
Open Office - Level 2,13/01/26 08:09,24.0,50.8,10,169,660,151.1,1013.1,19,9,13,15,0,358,51,2,2
Open Office - Level 2,13/01/26 08:10,23.9,51.0,10,182,626,153.3,1013.6,19,9,13,18,0,342,52,2,2
Open Office - Level 2,13/01/26 08:11,24.0,50.7,11,185,666,147.8,1013.2,22,10,13,16,0,349,49,2,2
Open Office - Level 2,13/01/26 08:12,23.8,50.5,9,193,660,147.3,1013.5,18,9,14,18,0,346,52,2,2
Open Office - Level 2,13/01/26 08:13,23.8,49.6,10,192,686,153.7,1013.3,21,9,14,17,0,361,50,2,2
Open Office - Level 2,13/01/26 08:14,23.7,51.6,10,203,693,153.6,1013.2,20,9,15,19,0,341,49,2,2
Open Office - Level 2,13/01/26 08:15,24.2,51.7,10,182,688,153.7,1013.3,22,10,13,19,0,356,52,2,2
Open Office - Level 2,13/01/26 08:16,23.9,51.9,10,183,710,151.2,1013.1,23,8,14,18,0,358,51,2,2
Open Office - Level 2,13/01/26 08:17,24.0,50.0,11,193,701,151.4,1013.3,20,10,13,18,0,371,52,2,2
Open Office - Level 2,13/01/26 08:18,24.2,50.4,12,206,690,150.7,1013.4,22,9,15,18,0,393,54,2,2
Open Office - Level 2,13/01/26 08:19,23.9,51.4,11,208,725,151.6,1013.5,22,11,15,19,0,379,55,2,2
Open Office - Level 2,13/01/26 08:20,23.9,51.7,10,194,721,154.7,1013.3,23,11,15,20,0,384,58,2,2
Open Office - Level 2,13/01/26 08:21,23.8,52.4,10,222,750,152.2,1013.6,24,11,15,20,0,371,57,2,2
Open Office - Level 2,13/01/26 08:22,24.1,51.3,12,218,696,147.3,1013.0,23,10,16,18,0,368,58,2,2
Open Office - Level 2,13/01/26 08:23,23.9,49.9,12,197,712,146.0,1013.5,19,10,15,19,0,399,55,2,2
Open Office - Level 2,13/01/26 08:24,23.8,49.8,11,198,731,145.3,1013.2,21,11,16,17,0,384,55,2,2
Open Office - Level 2,13/01/26 08:25,23.8,50.1,10,208,693,151.6,1013.4,22,8,15,17,0,357,54,2,2
Open Office - Level 2,13/01/26 08:26,23.7,50.1,12,191,667,154.0,1013.0,23,8,13,18,0,355,55,2,2
Open Office - Level 2,13/01/26 08:27,24.1,50.2,10,184,653,152.4,1013.3,22,9,15,18,0,348,53,2,2
Open Office - Level 2,13/01/26 08:28,24.0,52.1,10,191,700,145.6,1013.3,20,9,14,19,0,343,49,2,2
Open Office - Level 2,13/01/26 08:29,23.7,51.4,10,184,694,150.3,1013.3,22,8,14,18,0,361,54,2,2
Open Office - Level 2,13/01/26 08:30,23.8,50.2,10,186,651,146.0,1013.3,22,9,13,18,0,334,53,2,2
Open Office - Level 2,13/01/26 08:31,23.9,51.9,10,188,651,148.3,1013.1,20,9,14,18,0,356,53,2,2
Open Office - Level 2,13/01/26 08:32,23.7,50.1,10,174,616,153.5,1013.2,23,9,14,18,0,361,52,2,2
Open Office - Level 2,13/01/26 08:33,23.4,52.3,11,173,613,152.0,1013.2,20,8,14,16,0,334,47,2,2
Open Office - Level 2,13/01/26 08:34,23.8,50.1,10,173,616,152.2,1013.5,21,7,12,15,0,339,50,2,2
Open Office - Level 2,13/01/26 08:35,23.7,50.8,9,184,593,149.3,1013.2,22,8,13,15,0,326,49,2,2
Open Office - Level 2,13/01/26 08:36,23.4,49.9,9,168,578,152.5,1013.1,20,8,13,17,0,337,44,2,2
Open Office - Level 2,13/01/26 08:37,23.3,52.3,10,173,604,152.1,1013.3,19,7,12,17,0,326,49,2,2
Open Office - Level 2,13/01/26 08:38,23.8,50.2,9,170,586,148.1,1013.2,20,7,12,14,0,317,48,2,2
Open Office - Level 2,13/01/26 08:39,23.8,51.9,8,155,566,151.0,1013.5,22,7,13,15,0,322,47,2,2
Open Office - Level 2,13/01/26 08:40,23.5,51.4,9,175,584,146.5,1013.0,21,8,12,14,0,308,44,2,2
Open Office - Level 2,13/01/26 08:41,23.7,49.7,10,173,575,150.1,1013.3,21,9,13,15,0,316,45,2,2
Executive Boardroom,13/01/26 08:00,23.0,45.7,4,102,411,90.1,1013.5,7,3,6,7,0,271,28,1,1
Executive Boardroom,13/01/26 08:01,23.1,46.5,5,100,435,83.7,1013.3,10,4,6,7,0,289,32,1,1
Executive Boardroom,13/01/26 08:02,23.0,46.5,6,98,425,89.0,1013.8,8,4,7,8,0,284,32,1,1
Executive Boardroom,13/01/26 08:03,23.3,47.4,5,89,430,84.8,1013.3,12,4,5,6,0,264,33,1,1
Executive Boardroom,13/01/26 08:04,23.5,48.2,4,90,460,84.3,1013.4,7,5,7,8,0,272,31,1,1
Executive Boardroom,13/01/26 08:05,23.1,46.8,5,103,447,88.3,1013.4,11,4,7,7,0,307,35,1,1
Executive Boardroom,13/01/26 08:06,23.2,47.1,6,107,473,84.4,1013.4,10,5,6,6,0,307,34,1,1
Executive Boardroom,13/01/26 08:07,23.3,48.2,4,97,489,85.2,1013.5,8,3,5,7,0,286,36,1,1
Executive Boardroom,13/01/26 08:08,23.7,48.0,5,109,446,85.9,1013.7,10,3,6,7,0,280,30,1,1
Executive Boardroom,13/01/26 08:09,23.4,47.7,5,89,461,86.0,1013.2,9,5,6,6,0,320,34,1,1
Executive Boardroom,13/01/26 08:10,23.2,45.9,5,105,464,87.2,1013.6,7,5,5,8,0,308,37,1,1
Executive Boardroom,13/01/26 08:11,23.5,47.4,6,97,456,90.9,1013.4,10,4,7,8,0,305,31,1,1
Executive Boardroom,13/01/26 08:12,23.3,47.8,5,111,500,91.1,1013.2,11,4,7,7,0,304,32,1,1
Executive Boardroom,13/01/26 08:13,23.8,47.1,5,114,479,86.6,1013.7,11,4,6,8,0,336,36,1,1
Executive Boardroom,13/01/26 08:14,23.8,47.0,6,121,505,91.0,1013.6,6,4,8,8,0,317,33,1,1
Executive Boardroom,13/01/26 08:15,23.7,46.8,6,105,482,91.7,1013.4,12,4,8,9,0,310,37,1,1
Executive Boardroom,13/01/26 08:16,23.7,48.4,5,113,533,83.3,1013.2,11,4,7,8,0,335,37,1,1
Executive Boardroom,13/01/26 08:17,23.8,47.2,6,108,531,85.5,1013.3,10,4,7,8,0,325,36,1,1
Executive Boardroom,13/01/26 08:18,23.5,48.2,6,102,549,87.5,1013.7,9,4,7,9,0,332,36,1,1
Executive Boardroom,13/01/26 08:19,23.9,48.1,6,127,542,90.9,1013.5,7,4,6,9,0,324,38,1,1
Executive Boardroom,13/01/26 08:20,23.7,47.3,5,109,570,90.2,1013.5,11,6,6,10,0,353,38,1,1
Executive Boardroom,13/01/26 08:21,23.9,47.8,6,107,574,87.3,1013.7,6,4,6,8,0,344,40,1,1
Executive Boardroom,13/01/26 08:22,23.9,48.0,6,119,543,84.3,1013.4,9,5,6,10,0,333,39,1,1
Executive Boardroom,13/01/26 08:23,23.9,47.2,7,100,507,89.4,1013.5,10,6,7,8,0,343,39,1,1
Executive Boardroom,13/01/26 08:24,23.6,47.9,6,107,502,83.6,1013.5,9,4,7,8,0,348,38,1,1
Executive Boardroom,13/01/26 08:25,23.4,46.6,6,106,520,85.7,1013.3,7,4,7,8,0,325,39,1,1
Executive Boardroom,13/01/26 08:26,23.6,46.4,7,110,517,88.0,1013.4,6,5,7,9,0,320,35,1,1
Executive Boardroom,13/01/26 08:27,23.8,47.5,6,110,530,87.3,1013.7,10,5,7,8,0,330,34,1,1
Executive Boardroom,13/01/26 08:28,23.5,47.8,6,123,515,84.2,1013.8,8,5,7,9,0,334,34,1,1
Executive Boardroom,13/01/26 08:29,23.2,45.9,5,105,495,89.1,1013.5,8,4,6,9,0,330,34,1,1
Executive Boardroom,13/01/26 08:30,23.5,47.6,5,114,484,89.7,1013.8,10,5,7,8,0,297,35,1,1
Executive Boardroom,13/01/26 08:31,23.7,47.2,5,107,465,89.3,1013.6,11,3,6,7,0,330,32,1,1
Executive Boardroom,13/01/26 08:32,23.2,47.6,5,110,505,91.7,1013.6,6,3,5,8,0,314,34,1,1
Executive Boardroom,13/01/26 08:33,23.6,46.5,5,109,487,89.4,1013.6,10,3,5,7,0,293,36,1,1
Executive Boardroom,13/01/26 08:34,23.2,47.6,5,95,494,91.0,1013.4,7,4,6,8,0,313,36,1,1
Executive Boardroom,13/01/26 08:35,23.3,47.6,5,97,447,87.8,1013.3,9,5,6,6,0,302,34,1,1
Executive Boardroom,13/01/26 08:36,23.3,47.4,4,94,468,84.0,1013.7,6,4,7,7,0,310,34,1,1
Executive Boardroom,13/01/26 08:37,23.6,46.5,5,108,425,88.7,1013.5,10,5,7,6,0,304,30,1,1
Executive Boardroom,13/01/26 08:38,23.2,47.0,6,109,470,91.8,1013.2,9,3,7,7,0,305,31,1,1
Executive Boardroom,13/01/26 08:39,23.5,46.9,4,81,418,87.6,1013.4,7,4,7,7,0,291,29,1,1
Executive Boardroom,13/01/26 08:40,23.4,47.0,4,97,412,84.4,1013.4,7,4,5,8,0,295,29,1,1
Executive Boardroom,13/01/26 08:41,23.3,47.6,4,80,414,87.1,1013.5,11,4,6,6,0,290,29,1,1
