Site,Date and Time,Temperature,Relative Humidity,PM2.5,TVOC,CO2,CO,Air Pressure,Ozone,PM1,PM4,PM10,Formaldehyde,Light,Sound,Virus Index,Mold Index
Reception Area,13/01/26 08:37,24.3,50.1,14,245,767,193.2,1012.9,27,11,18,23,0,341,47,2,2
Reception Area,13/01/26 08:38,24.0,51.5,14,248,759,189.4,1013.3,27,11,18,23,0,311,49,2,2
Reception Area,13/01/26 08:39,23.9,49.1,13,237,721,187.8,1013.0,24,12,17,22,0,326,50,2,2
Reception Area,13/01/26 08:40,24.3,50.9,15,261,741,186.3,1013.2,23,12,18,23,0,315,47,2,2
Reception Area,13/01/26 08:41,23.9,49.9,14,254,686,190.2,1012.9,28,12,18,22,0,284,48,2,2
Warehouse - Packing Zone,13/01/26 08:00,26.5,55.5,30,467,952,277.2,1012.8,36,28,36,42,0,353,75,3,4
Warehouse - Packing Zone,13/01/26 08:01,26.6,53.6,29,495,961,276.2,1013.0,38,27,36,41,0,363,74,3,4
Warehouse - Packing Zone,13/01/26 08:02,26.8,54.3,30,486,969,284.0,1012.6,37,28,36,42,0,365,78,3,4
Warehouse - Packing Zone,13/01/26 08:03,26.4,54.2,31,485,1002,283.2,1013.1,38,28,35,43,0,374,76,3,4
Warehouse - Packing Zone,13/01/26 08:04,26.4,55.8,32,496,1034,276.4,1012.8,35,29,37,44,0,375,77,3,4
Warehouse - Packing Zone,13/01/26 08:05,26.8,53.8,31,522,1022,278.8,1013.1,37,29,37,44,0,377,81,3,4
Warehouse - Packing Zone,13/01/26 08:06,26.7,56.0,32,515,1032,280.1,1012.9,37,29,39,46,0,379,79,3,4
Warehouse - Packing Zone,13/01/26 08:07,26.7,56.4,34,541,1023,283.6,1012.8,37,30,39,47,0,396,79,3,4
Warehouse - Packing Zone,13/01/26 08:08,26.4,53.7,34,534,1066,280.0,1012.7,39,30,39,46,0,381,82,3,4
Warehouse - Packing Zone,13/01/26 08:09,26.9,55.1,33,545,1092,281.8,1012.5,39,31,40,46,0,378,84,3,4
Warehouse - Packing Zone,13/01/26 08:10,26.6,55.7,34,537,1097,282.0,1012.6,41,32,41,48,0,387,83,3,4
Warehouse - Packing Zone,13/01/26 08:11,27.0,55.8,33,564,1085,275.6,1012.9,38,31,40,48,0,404,86,3,4
Warehouse - Packing Zone,13/01/26 08:12,26.6,55.2,35,554,1113,275.4,1013.0,36,32,41,48,0,427,89,3,4
Warehouse - Packing Zone,13/01/26 08:13,26.9,54.8,35,566,1139,277.7,1012.5,37,33,42,48,0,427,91,3,4
Warehouse - Packing Zone,13/01/26 08:14,26.8,54.3,37,571,1143,275.1,1012.6,38,33,42,50,0,424,90,3,4
Warehouse - Packing Zone,13/01/26 08:15,27.1,55.8,35,567,1148,277.3,1012.7,40,35,43,49,0,430,93,3,4
Warehouse - Packing Zone,13/01/26 08:16,26.9,54.2,36,576,1197,282.1,1012.6,41,35,43,51,0,425,95,3,4
Warehouse - Packing Zone,13/01/26 08:17,26.7,56.0,36,598,1176,284.6,1012.6,37,34,44,52,0,444,92,3,4
Warehouse - Packing Zone,13/01/26 08:18,26.7,55.8,37,593,1174,279.7,1012.7,38,36,43,52,0,431,92,3,4
Warehouse - Packing Zone,13/01/26 08:19,27.2,55.6,37,620,1197,275.9,1012.6,37,35,44,53,0,465,92,3,4
Warehouse - Packing Zone,13/01/26 08:20,27.1,54.2,38,626,1199,275.1,1013.0,41,35,45,53,0,454,97,3,4
Warehouse - Packing Zone,13/01/26 08:21,27.2,53.6,38,636,1232,276.3,1013.0,40,36,44,54,0,442,97,3,4
Warehouse - Packing Zone,13/01/26 08:22,26.7,55.5,37,608,1202,277.8,1013.0,35,36,43,53,0,445,96,3,4
Warehouse - Packing Zone,13/01/26 08:23,26.8,54.1,39,611,1215,283.0,1013.0,41,36,44,53,0,444,97,3,4
Warehouse - Packing Zone,13/01/26 08:24,26.7,54.5,36,615,1211,275.6,1013.1,38,36,45,53,0,424,95,3,4
Warehouse - Packing Zone,13/01/26 08:25,27.2,53.7,38,588,1201,283.0,1012.7,40,35,42,52,0,447,94,3,4
Warehouse - Packing Zone,13/01/26 08:26,27.0,56.3,36,591,1148,284.9,1013.0,38,34,43,50,0,419,90,3,4
Warehouse - Packing Zone,13/01/26 08:27,27.2,54.1,35,589,1178,283.4,1012.7,35,34,43,51,0,438,93,3,4
Warehouse - Packing Zone,13/01/26 08:28,27.1,54.7,35,570,1118,276.6,1013.1,40,34,42,49,0,439,91,3,4
Warehouse - Packing Zone,13/01/26 08:29,26.6,55.3,34,563,1137,276.3,1012.9,41,34,41,50,0,434,85,3,4
Warehouse - Packing Zone,13/01/26 08:30,27.1,54.2,35,575,1090,282.5,1012.6,41,31,42,48,0,418,88,3,4
Warehouse - Packing Zone,13/01/26 08:31,26.7,54.2,33,548,1075,275.0,1012.7,39,33,41,48,0,399,86,3,4
Warehouse - Packing Zone,13/01/26 08:32,26.9,55.5,34,538,1059,283.5,1012.7,37,33,39,47,0,395,86,3,4
Warehouse - Packing Zone,13/01/26 08:33,26.5,55.3,33,540,1044,284.4,1012.6,40,30,38,46,0,383,85,3,4
Warehouse - Packing Zone,13/01/26 08:34,26.6,54.3,32,520,1062,283.4,1012.6,37,31,39,46,0,394,81,3,4
Warehouse - Packing Zone,13/01/26 08:35,26.6,53.7,34,522,1039,279.9,1012.9,36,30,37,47,0,380,82,3,4
Warehouse - Packing Zone,13/01/26 08:36,26.4,54.3,31,529,1041,275.9,1012.7,38,31,38,45,0,393,83,3,4
Warehouse - Packing Zone,13/01/26 08:37,26.8,54.9,33,513,992,284.0,1012.9,38,31,38,45,0,380,78,3,4
Warehouse - Packing Zone,13/01/26 08:38,26.9,56.4,32,496,999,284.9,1012.8,41,29,38,44,0,386,81,3,4
Warehouse - Packing Zone,13/01/26 08:39,26.5,54.5,31,499,1012,282.9,1012.9,38,29,36,42,0,369,80,3,4
Warehouse - Packing Zone,13/01/26 08:40,26.5,53.8,30,494,968,279.1,1012.7,38,28,35,43,0,345,78,3,4
Warehouse - Packing Zone,13/01/26 08:41,26.7,54.5,29,493,988,284.0,1012.5,40,28,35,42,0,363,74,3,4
Staff Canteen,13/01/26 08:00,24.8,54.8,15,223,675,186.5,1012.8,20,13,17,23,0,305,50,2,2
Staff Canteen,13/01/26 08:01,24.4,55.0,13,244,712,180.3,1012.8,24,13,16,22,0,311,49,2,2
Staff Canteen,13/01/26 08:02,24.5,55.4,13,222,691,185.9,1012.8,24,12,17,21,0,314,50,2,2
Staff Canteen,13/01/26 08:03,24.5,54.0,14,253,730,186.5,1013.1,21,12,16,23,0,313,47,2,2
Staff Canteen,13/01/26 08:04,24.7,53.5,14,252,706,189.7,1013.1,22,12,17,23,0,305,51,2,2
Staff Canteen,13/01/26 08:05,24.4,55.0,15,256,720,186.5,1013.1,21,11,17,24,0,316,53,2,2
Staff Canteen,13/01/26 08:06,24.8,54.4,14,257,762,188.1,1013.2,23,13,18,23,0,320,55,2,2
Staff Canteen,13/01/26 08:07,24.6,53.6,15,255,729,187.3,1012.8,22,14,19,24,0,319,54,2,2
Staff Canteen,13/01/26 08:08,24.5,53.8,14,249,776,187.6,1012.8,23,13,17,24,0,333,52,2,2
Staff Canteen,13/01/26 08:09,24.6,54.4,16,258,789,185.8,1013.3,19,14,19,25,0,322,53,2,2
Staff Canteen,13/01/26 08:10,24.5,54.1,16,264,801,184.6,1012.9,23,14,19,25,0,318,55,2,2
Staff Canteen,13/01/26 08:11,25.0,54.0,17,266,802,180.9,1013.1,23,13,20,25,0,317,53,2,2
Staff Canteen,13/01/26 08:12,24.7,56.0,15,274,804,182.5,1013.1,21,13,19,25,0,326,58,2,2
Staff Canteen,13/01/26 08:13,24.9,55.3,16,284,836,183.4,1013.2,21,13,21,27,0,339,54,2,2
Staff Canteen,13/01/26 08:14,24.9,55.3,15,272,825,180.4,1013.2,21,14,19,27,0,354,58,2,2
Staff Canteen,13/01/26 08:15,24.9,54.6,17,278,804,187.0,1013.1,21,14,20,26,0,356,56,2,2
Staff Canteen,13/01/26 08:16,25.0,53.9,16,270,817,182.0,1012.9,22,13,20,27,0,338,58,2,2
Staff Canteen,13/01/26 08:17,24.8,53.5,17,297,865,186.7,1012.8,20,14,21,26,0,350,57,2,2
Staff Canteen,13/01/26 08:18,24.9,53.8,16,275,841,188.0,1012.9,23,14,22,26,0,378,61,2,2
Staff Canteen,13/01/26 08:19,25.0,55.4,18,280,883,181.8,1012.9,25,15,21,28,0,380,62,2,2
Staff Canteen,13/01/26 08:20,25.1,53.7,19,285,869,185.9,1013.2,23,14,21,28,0,353,62,2,2
Staff Canteen,13/01/26 08:21,24.8,56.3,17,296,857,182.6,1012.9,23,15,23,28,0,380,65,2,2
Staff Canteen,13/01/26 08:22,25.0,55.6,17,300,859,183.5,1013.1,21,16,21,29,0,354,62,2,2
Staff Canteen,13/01/26 08:23,25.2,56.1,16,292,848,189.7,1012.7,20,15,21,26,0,366,63,2,2
Staff Canteen,13/01/26 08:24,24.9,53.9,17,294,830,184.1,1013.0,19,14,21,27,0,356,60,2,2
Staff Canteen,13/01/26 08:25,25.2,54.6,16,277,842,185.6,1013.1,22,14,21,26,0,370,57,2,2
Staff Canteen,13/01/26 08:26,25.2,54.4,17,288,808,181.6,1012.8,23,14,19,27,0,344,61,2,2
Staff Canteen,13/01/26 08:27,25.1,55.7,16,276,851,188.4,1013.1,24,14,20,27,0,337,58,2,2
Staff Canteen,13/01/26 08:28,25.1,56.0,16,276,841,181.8,1013.0,23,13,20,26,0,363,57,2,2
Staff Canteen,13/01/26 08:29,25.0,55.8,16,286,834,184.5,1012.8,21,14,20,26,0,351,58,2,2
Staff Canteen,13/01/26 08:30,24.9,54.1,16,263,787,186.7,1013.3,23,15,19,25,0,332,54,2,2
Staff Canteen,13/01/26 08:31,24.8,55.5,16,273,806,182.9,1013.2,24,13,18,24,0,342,53,2,2
Staff Canteen,13/01/26 08:32,24.6,54.3,17,268,765,187.5,1012.7,24,12,20,25,0,346,55,2,2
Staff Canteen,13/01/26 08:33,24.9,55.9,15,264,793,183.9,1013.3,25,13,19,23,0,317,55,2,2
Staff Canteen,13/01/26 08:34,24.9,56.2,15,260,772,185.5,1013.1,24,14,18,23,0,330,51,2,2
Staff Canteen,13/01/26 08:35,24.6,54.8,15,242,753,182.6,1012.9,23,12,17,24,0,301,55,2,2
Staff Canteen,13/01/26 08:36,24.6,55.2,15,258,727,182.2,1012.8,19,13,18,23,0,298,50,2,2
Staff Canteen,13/01/26 08:37,24.5,54.2,16,247,758,188.2,1013.3,19,12,18,24,0,315,52,2,2
Staff Canteen,13/01/26 08:38,24.5,56.2,15,240,720,182.8,1013.2,24,12,18,23,0,288,52,2,2
Staff Canteen,13/01/26 08:39,24.9,54.0,15,240,679,180.7,1013.1,24,13,17,21,0,304,51,2,2
Staff Canteen,13/01/26 08:40,24.6,56.3,14,226,697,183.3,1012.8,19,13,17,22,0,287,48,2,2
Staff Canteen,13/01/26 08:41,24.5,53.6,14,234,697,186.2,1013.2,23,12,16,23,0,278,50,2,2
