Site,Date and Time,Temperature,Relative Humidity,PM2.5,TVOC,CO2,CO,Air Pressure,Ozone,PM1,PM4,PM10,Formaldehyde,Light,Sound,Virus Index,Mold Index
Conference Room B,13/01/26 08:32,26.9,62.6,39,614,1262,308.8,1013.1,35,36,51,52,13.7,313,80,2,3
Conference Room B,13/01/26 08:33,26.9,64.6,41,578,1272,315.5,1012.9,37,39,47,49,14.6,345,74,2,4
Conference Room B,13/01/26 08:34,27.6,64.5,41,564,1175,304.7,1012.6,40,35,45,53,12.2,317,81,3,4
Conference Room B,13/01/26 08:35,27.0,65.2,39,619,1207,303.5,1012.9,35,38,44,48,11.0,348,80,2,4
Conference Room B,13/01/26 08:36,27.4,62.7,40,563,1156,317.9,1012.9,41,35,43,50,11.0,342,74,2,4
Conference Room B,13/01/26 08:37,27.4,63.5,35,554,1176,317.8,1012.6,44,36,44,44,13.3,329,80,2,3
Conference Room B,13/01/26 08:38,27.3,62.2,35,584,1158,303.4,1012.7,44,36,46,48,12.7,297,79,4,3
Conference Room B,13/01/26 08:39,27.4,64.0,39,551,1181,305.6,1012.9,42,33,42,47,14.4,318,69,3,3
Conference Room B,13/01/26 08:40,27.4,62.2,36,561,1084,310.6,1012.8,43,36,43,43,12.4,279,74,4,3
Conference Room B,13/01/26 08:41,26.8,64.6,33,525,1095,314.1,1013.0,42,31,42,48,14.2,298,74,3,4
